# DIGITAL FOREST TWIN - MATHISLE IMPORT FILE
# Generated: 2026-01-19 14:43:20
# Source: Mathisle raw data
# Records: 724
#
# REQUIRED FIELDS: LocationID, SpeciesID, Latitude, Longitude
# All coordinates in WGS84 (EPSG:4326)
#
LocationID,SpeciesID,VariantTypeID,Latitude,Longitude,DBH_cm,Height_m,TreeStatusID,CrownWidth_m,CrownBaseHeight_m,Age_years,HealthScore,TaperTypeID,StraightnessTypeID,BranchingPatternID,BarkCharacteristicID,FieldNotes,MeasurementDate
,1,1,47.8846408216667,8.08793989666667,9.55,,1,,,,,,,,,TreeID: 574 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/574,2025-03-27
,1,1,47.8847035433333,8.08889969833333,7.96,,1,,,,,,,,,TreeID: 495 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/495,2025-03-26
,1,1,47.88472078,8.08785177,7.96,,1,,,,,,,,,TreeID: 470 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/470,2025-03-26
,1,1,47.8850028833333,8.08796062666667,8.43,,1,,,,,,,,,TreeID: 233 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/233,2025-02-13
,1,1,47.8850785366667,8.08845274833333,7.0,,1,,,,,,,,,TreeID: 109 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/109,2025-02-12
,1,1,47.884414385,8.08894310833333,7.96,,1,,,,,,,,,TreeID: 753 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/753,2025-04-10
,1,1,47.88442865,8.08904147833333,10.98,,1,,,,,,,,,TreeID: 741 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/741,2025-04-10
,1,1,47.8846266783333,8.087780655,20.37,,1,,,,,,,,,TreeID: 528 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/528,2025-03-27
,1,1,47.8851720183333,8.08781182,53.16,,1,,,,,,,,,TreeID: 25 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/25,2025-02-06
,1,1,47.88495034,8.08794140166667,7.32,,1,,,,,,,,,TreeID: 241 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/241,2025-02-13
