index,species,x,y,dbh,height,elevation,sensor
687,Beech,416817.4192,5346772.319,0.275338051548979,24.65340194,515.302368164062,False
688,Beech,416816.1416,5346766.405,0.162338041953733,25.62468823,515.777893066406,False
689,Beech,416810.52060667,5346769.58112356,0.0763943726841098,27.846631215244933,516.133483886719,False
690,Beech,416809.8855,5346767.408,0.35014087480217,28.91166739,516.346557617188,False
691,Beech,416808.0239,5346768.914,0.436084544071793,27.36103242,516.437927246094,False
692,Beech,416805.77,5346769.858,0.117774657888003,28.37744218,516.565307617188,False
693,Beech,416802.9391,5346768.493,0.175070437401085,27.9942772,516.824890136719,False
694,Beech,416801.1486,5346768.976,0.327859182769304,28.51563757,517.130126953125,False
695,Beech,416800.9881,5346766.968,0.124140855611678,27.3988881,517.135498046875,False
696,Beech,416799.972,5346768.983,0.13687325105903,29.87348739,517.23828125,False
697,Beech,416798.0114,5346771.487,0.381971863420549,27.93035784,517.321716308594,False
698,Beech,416793.5896,5346772.064,0.140056349920868,27.46006118,517.645812988281,False
699,Beech,416791.382541712,5346772.06959886,0.321492985045629,26.989716315613368,517.759887695312,False
700,Beech,416791.9373,5346769.67,0.12095775674984,28.5954834,517.818725585938,False
701,Beech,416792.6403,5346768.304,0.0891267681314614,29.01714071,517.840515136719,False
702,Beech,416790.0918,5346765.17,0.474281730413848,29.21379034,518.363220214844,False
703,Beech,416796.5831,5346764.553,0.372422566835035,28.81169878,517.817749023438,False
704,Beech,416799.312,5346761.442,0.299211293012763,28.79234501,517.698669433594,False
705,Beech,416804.2935,5346762.361,0.162338041953733,32.42419667,517.078796386719,False
706,Beech,416804.7552,5346761.147,0.15278874536822,27.60210156,517.067260742188,False
707,Larch,416806.645053431,5346761.91897753,0.477464829275686,31.425554248655043,517.088012695312,False
708,Beech,416808.2559,5346760.624,0.155971844230057,26.71208693,516.910827636719,False
709,Beech,416808.9631,5346761.223,0.13687325105903,27.27753705,516.789672851562,False
710,Beech,416810.857800362,5346761.71736408,0.381971863420549,28.70274793705192,516.675659179688,False
711,Beech,416813.6106,5346763.616,0.149605646506382,27.33734679,516.160583496094,False
712,Beech,416810.8968,5346758.522,0.117774657888003,26.35174632,516.625,False
713,Beech,416814.833335784,5346757.97584372,0.159154943091895,28.42485097122753,516.221984863281,False
714,Beech,416810.8968,5346758.522,0.124140855611678,26.35174632,516.625,False
715,Beech,416811.319,5346752.879,0.0923098669932993,29.09426914,516.899291992188,False
716,Beech,416811.8036,5346751.49,0.168704239677409,27.59639828,516.948181152344,False
717,Larch,416811.0342,5346750.98,0.467915532690172,30.83336965,517.1259765625,False
718,Beech,416809.4445,5346751.486,0.100267614147894,29.24087843,517.143615722656,False
719,Beech,416809.919149126,5346749.63575513,0.0604788783749202,28.026092272680334,517.180419921875,False
720,Beech,416810.110635875,5346754.75368117,0.0827605704077856,27.19380147,516.902526855469,False
721,Beech,416806.568431802,5346753.43092105,0.0604788783749202,26.6198859,517.406005859375,False
722,Beech,416807.281560119,5346754.72685982,0.0795774715459477,26.6198859,517.181945800781,False
723,Beech,416807.421019941,5346756.04961994,0.114591559026165,27.19380147,517.067321777344,False
724,Beech,416805.3006,5346755.457,0.114591559026165,23.64885773,517.364074707031,False
725,Beech,416803.8384,5346754.082,0.353323973664008,29.30144288,517.699340820312,False
726,Beech,416803.2671,5346752.115,0.12095775674984,28.69915813,517.78759765625,False
727,Beech,416801.537277718,5346752.42064263,0.0923098669932993,29.378057199628955,517.869384765625,False
728,Beech,416801.1631,5346751.52,0.464732433828334,29.01313596,518.131042480469,False
729,Beech,416799.9261,5346756.37,0.0795774715459477,28.87940295,517.812072753906,False
730,Beech,416799.783687224,5346756.99352135,0.337408479354818,25.967964184735703,517.717407226562,False
731,Beech,416796.6155,5346756.747,0.130507053335354,27.89856773,518.023559570312,False
732,Beech,416791.0147,5346757.048,0.397887357729738,29.15587893,518.672668457031,False
733,Beech,416790.957797017,5346753.51392274,0.41061975317709,29.67173608436416,518.945495605469,False
734,Beech,416794.368577245,5346750.70039317,0.155971844230057,27.91501970737077,518.658020019531,False
735,Beech,416794.751631487,5346750.07548108,0.0986760647169751,29.92093390421667,518.756225585938,False
736,Beech,416793.264995644,5346749.18589291,0.0732112738222719,27.469573043879357,519.061462402344,False
737,Larch,416794.6039,5346747.649,0.557042300821634,34.83789641,518.98876953125,False
738,Beech,416808.288278648,5346743.62383061,0.366056369111359,29.187416831094176,517.789611816406,False
739,Beech,416811.0077,5346743.984,0.397887357729738,29.45529169,517.392272949219,False
740,Beech,416809.620360119,5346742.64261994,0.070028174960434,29.13006689,517.568359375,False
741,Beech,416811.017657226,5346742.16478777,0.0732112738222719,29.13006689,517.365356445312,False
742,Spruce,416700.5288,5346663.305,0.203718327157626,23.65746203,522.974914550781,False
743,Beech,416706.9483,5346660.808,0.241915513499681,24.99972641,523.533996582031,False
744,Beech,416704.2509,5346653.191,0.12095775674984,28.65214921,523.617980957031,False
745,Beech,416702.9476,5346649.519,0.101859163578813,28.16869645,523.698669433594,False
746,Beech,416702.1224,5346648.071,0.114591559026165,29.33291334,523.649047851562,False
747,Beech,416702.0913,5346643.654,0.133690152197192,31.26105225,523.910095214844,False
748,Spruce,416700.5161,5346641.547,0.515662015617741,32.61284084,523.972900390625,False
749,Beech,416699.5169,5346642.569,0.130507053335354,29.080744,523.779418945312,False
750,Beech,416700.8787,5346647.945,0.0954929658551372,29.20707733,523.589111328125,False
751,Beech,416697.99282672,5346645.63335837,0.0891267681314614,30.111258803659474,523.438659667969,False
752,Spruce,416698.3727,5346647.503,0.480647928137524,29.69162008,523.578186035156,False
753,Beech,416701.9548,5346650.844,0.397887357729738,28.08773675,523.712036132812,False
754,Spruce,416698.262,5346654.974,0.630253574643906,32.91569184,523.556640625,False
755,Beech,416694.2258,5346652.067,0.181436635124761,27.18077839,523.128723144531,False
756,Beech,416697.0726,5346659.145,0.15278874536822,27.96540497,523.060363769531,False
757,Spruce,416695.1192,5346660.352,0.184619733986599,26.30095338,522.833740234375,False
758,Spruce,416694.4675,5346663.161,0.560225399683472,29.46841638,522.834533691406,False
759,Spruce,416691.18605445,5346651.34904623,0.76076062797926,32.49670028530002,523.183410644531,False
760,Beech,416686.3241,5346661.364,0.27374650211806,25.82764222,522.148132324219,False
761,Beech,416697.6759,5346652.505,0.13687325105903,27.74826433,523.380432128906,False
762,Beech,416685.303678794,5346659.31093984,0.143239448782706,27.62516358571572,522.136596679688,False
763,Beech,416683.8027,5346661.626,0.0732112738222719,25.12242476,521.914123535156,False
764,Beech,416686.3241,5346661.364,0.276929600979898,25.82764222,522.148132324219,False
765,Beech,416683.8027,5346661.626,0.108225361302489,25.12242476,521.914123535156,False
766,Oak,416680.2689,5346659.803,0.509295817894065,26.61389841,521.846435546875,False
767,Beech,416679.072986,5346661.31306939,0.130507053335354,27.475448025508268,521.561218261719,False
768,Oak,416677.6535,5346665.964,0.445633840657307,27.76285254,521.178527832031,False
769,Beech,416681.314,5346661.464,0.070028174960434,26.4445357,521.686645507812,False
770,Beech,416681.453834456,5346665.59421634,0.194169030572112,27.0303165606681,521.518005371094,False
771,Beech,416683.8027,5346661.626,0.101859163578813,25.12242476,521.914123535156,False
772,Beech,416683.2686,5346666.366,0.0732112738222719,24.4603781,521.718933105469,False
773,Beech,416674.8439,5346659.255,0.286478897565412,23.53807165,521.310546875,False
774,Beech,416682.013094859,5346656.24588225,0.187802832848436,25.826460473826103,522.079406738281,False
775,Beech,416681.629825081,5346673.51434419,0.159154943091895,28.42485097122753,521.101806640625,False
776,Oak,416678.9255,5346674.943,0.337408479354818,26.74321345,520.754272460938,False
777,Beech,416678.0477,5346675.108,0.219633821466816,24.68930062,520.636535644531,False
778,Beech,416682.317204428,5346677.51304976,0.0732112738222719,27.469573043879357,520.900207519531,False
779,Beech,416682.831,5346679.668,0.264197205532546,26.30275559,520.930480957031,False
780,Beech,416679.9869,5346680.956,0.114591559026165,27.44890017,520.45654296875,False
781,Beech,416679.0059,5346680.962,0.0859436692696235,27.70920894,520.455505371094,False
782,Beech,416752.5001,5346699.697,0.4870141258612,26.31696208,523.058044433594,False
783,Silver Fir,416757.609323226,5346690.81142888,0.439267642933631,30.64712198237999,523.244750976562,False
784,Silver Fir,416756.37753093,5346686.38168906,0.0827605704077856,27.921492649699715,523.311645507812,False
785,Beech,416758.8638,5346685.165,0.124140855611678,25.42605083,523.376892089844,False
786,Beech,416761.2845,5346682.997,0.190985931710274,27.35209175,523.448120117188,False
787,Beech,416765.4276,5346689.439,0.181436635124761,27.87993756,522.923156738281,False
788,Beech,416765.624804953,5346686.18650916,0.522028213341417,30.614928663234988,523.230285644531,False
789,Beech,416767.171462722,5346686.43751472,0.0763943726841098,27.846631215244933,522.97802734375,False
790,Beech,416768.351625836,5346687.4734634,0.168704239677409,25.861006291828627,522.862976074219,False
791,Beech,416771.2129,5346689.28,0.391521160006063,31.8231088,522.755187988281,False
792,Beech,416771.068727167,5346691.3280177,0.159154943091895,28.42485097122753,522.615173339844,False
793,Beech,416774.334,5346689.061,0.130507053335354,30.25372442,522.506591796875,False
794,Beech,416775.7884,5346691.059,0.3947042588679,29.52102658,522.434753417969,False
795,Beech,416777.0816,5346691.603,0.108225361302489,28.8211524,522.309814453125,False
796,Beech,416777.0816,5346691.603,0.111408460164327,28.8211524,522.309814453125,False
797,Beech,416776.081,5346694.873,0.0954929658551372,29.49434664,522.261779785156,False
798,Beech,416773.1083,5346697.297,0.0795774715459477,29.20963695,522.370971679688,False
799,Beech,416778.6034,5346696.586,0.0923098669932993,28.80753222,522.081848144531,False
800,Beech,416773.9081,5346685.758,0.127323954473516,27.92066429,522.54052734375,False
801,Beech,416772.083,5346687.301,0.0572957795130823,28.70093988,522.599792480469,False
802,Beech,416770.6176,5346684.318,0.41061975317709,30.27514251,522.880126953125,False
803,Beech,416767.002000128,5346680.27069517,0.0636619772367581,28.172342803509807,523.118103027344,False
804,Beech,416764.7629,5346680.314,0.467915532690172,29.59169889,523.392456054688,False
805,Beech,416764.2161,5346679.781,0.0891267681314614,30.66809417,523.297424316406,False
806,Beech,416762.496,5346679.403,0.187802832848436,28.19199914,523.380065917969,False
807,Beech,416760.735001361,5346680.29887492,0.066845076098596,27.96648584923868,523.283264160156,False
808,Beech,416756.1138,5346679.206,0.162338041953733,29.99195256,523.547546386719,False
809,Silver Fir,416750.37066046,5346688.15823629,0.0604788783749202,27.834522521401365,523.500915527344,False
810,Beech,416748.996112628,5346688.08310012,0.636619772367581,32.153179509000026,523.669982910156,False
811,Silver Fir,416748.56184736,5346693.3430275,0.0604788783749202,27.834522521401365,523.269409179688,False
812,Douglas Fir,416748.5049,5346680.434,0.222816920328653,28.44475454,523.700256347656,False
813,Silver Fir,416744.1089,5346680.126,0.337408479354818,33.02106674,523.909790039062,False
814,Silver Fir,416744.1052,5346676.295,0.15278874536822,31.90391919,523.904418945312,False
815,Douglas Fir,416745.4225,5346674.983,0.404253555453414,34.88425012,523.955688476562,False
816,Silver Fir,416744.8212,5346672.379,0.276929600979898,30.66250196,524.078063964844,False
817,Larch,416752.3074,5346676.334,0.560225399683472,32.19666019,523.892211914062,False
818,Beech,416756.816559849,5346672.87904551,0.0636619772367581,27.2889866,523.71533203125,False
819,Beech,416761.8695,5346673.716,0.140056349920868,31.10928929,523.591430664062,False
820,Beech,416764.1878,5346676.207,0.12095775674984,30.56116331,523.358825683594,False
821,Beech,416765.2892,5346672.364,0.480647928137524,31.70729353,523.534240722656,False
822,Beech,416763.8753,5346671.177,0.101859163578813,31.27197968,523.488952636719,False
823,Beech,416760.9313,5346669.937,0.47109863155201,31.12819755,523.789733886719,False
824,Beech,416760.7331,5346669.42,0.0827605704077856,30.66262549,523.704833984375,False
825,Beech,416770.0161,5346670.033,0.480647928137524,30.12763728,523.195129394531,False
826,Beech,416771.2235,5346668.007,0.101859163578813,29.94666609,523.102661132812,False
827,Beech,416771.2235,5346668.007,0.111408460164327,29.94666609,523.102661132812,False
828,Beech,416774.1572,5346670.918,0.159154943091895,30.23767684,522.826477050781,False
829,Beech,416773.6612,5346676.878,0.111408460164327,31.68837363,522.530334472656,False
830,Beech,416775.8402,5346678.519,0.62388737692023,32.03043564,522.658264160156,False
831,Beech,416772.2792,5346662.778,0.413802852038928,29.31976619,523.116760253906,False
832,Beech,416770.3047,5346661.989,0.124140855611678,29.08467791,523.174377441406,False
833,Beech,416768.431595124,5346662.94134685,0.321492985045629,26.989716315613368,523.310913085938,False
834,Beech,416767.419585916,5346660.33954011,0.178253536262923,26.55086827819317,523.408447265625,False
835,Beech,416771.8362,5346660.108,0.0923098669932993,28.08660416,523.101196289062,False
